name,address,website,phone_number,reviews_count,reviews_average
iX Tulum,"Calle Sol Pte. entre Acuario Sur y Calle Júpiter Sur, Tulum Centro, 77760 Tulum, Q.R., Mexico",https://ixtulum.com/,+52 998 399 2732,3 reviews,5.0
Condos Ocho Tulum,"C. 16 Sur 8, La Veleta, 77780 Tulum, Q.R., Mexico",N/A,+52 984 144 1300,6 reviews,4.8
Menesse Tulum,"C. Asteroide, Tulum Centro, Col Huracanes, 77760 Tulum, Q.R., Mexico",N/A,+52 984 286 2001,39 reviews,4.8
Santos Tulum,"C. Kinich Ahaw, 77760 Tulum, Q.R., Mexico",http://santostulum.mx/,+52 984 286 1057,10 reviews,4.9
UJO' Tulum - Boutique Apartments,"F, M 52 L 16 Gamma Osiris y Beta S Osiris y Beta TLM Lakin, 77760 Tulum, Q.R., Mexico",http://www.ujotulum.com/,+52 984 197 6976,72 reviews,4.8
Jungle Lofts,"77760 Tulum, Quintana Roo, Mexico",N/A,+52 984 233 1188,3 reviews,4.7
Ja'Abin Luxury Condos,N/A,https://www.jaabincondos.com/,+52 984 119 5114,20 reviews,5.0
GAMA 09 Apartments,"Calle Gama Ote. Lote 09, Tulum Centro, Col Huracanes, 77760 Tulum, Q.R., Mexico",N/A,+52 443 123 8233,41 reviews,5.0
MERAKI Luxury Residences,"1 Pte Lote 4, La Veleta, 77764 Tulum, Q.R., Mexico",http://www.tulummeraki.com/,+52 984 156 9733,28 reviews,4.6
Tulum Nah Apartments,"Calle Neptuno esq, Av. Coba 14-S/N Lt, Centro, 77780 Tulum, Q.R., Mexico",N/A,+52 984 136 3425,31 reviews,4.7
